epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8098,1.7902,3.46346,1.78305,0.00624,0.62179,0.0237,0.00941,1.12432,3.13014,1.32307,8.335e-05,8.335e-05,8.335e-05
2,16.858,1.59719,3.28951,1.64417,0.00716,0.94017,0.17689,0.068,1.56531,3.17377,1.56842,0.000181555,0.000181555,0.000181555
3,18.9962,1.49418,2.80894,1.50466,0.00845,0.69444,0.187,0.09291,1.28945,2.96512,1.40799,0.000277779,0.000277779,0.000277779
4,21.1205,1.48383,2.37211,1.49559,0.00764,0.67308,0.2327,0.10574,1.30216,2.88855,1.36797,0.000372023,0.000372023,0.000372023
5,23.1094,1.50957,2.10091,1.53238,0.69488,0.2906,0.25077,0.13268,1.29711,2.83201,1.4044,0.000464286,0.000464286,0.000464286
6,25.4436,1.47296,1.96001,1.50766,0.93513,0.08602,0.2264,0.12883,1.33298,2.6669,1.38105,0.000554569,0.000554569,0.000554569
7,27.5782,1.44967,1.84602,1.46364,0.97353,0.07647,0.24563,0.1354,1.37588,2.59214,1.4406,0.000642872,0.000642872,0.000642872
8,29.8691,1.45855,1.79321,1.46407,0.60898,0.23932,0.15804,0.06701,1.615,2.95758,1.76935,0.000729194,0.000729194,0.000729194
9,32.029,1.43883,1.69634,1.44507,1,0.04574,0.15063,0.06797,1.70205,2.95083,1.85869,0.000813536,0.000813536,0.000813536
10,34.2827,1.44786,1.68189,1.44335,0.86807,0.07692,0.14222,0.06457,1.74829,2.84651,1.88095,0.000895897,0.000895897,0.000895897
11,36.3574,1.42867,1.64793,1.4421,1,0.05746,0.20874,0.09962,1.6669,2.78806,1.77655,0.000976279,0.000976279,0.000976279
12,38.8039,1.44317,1.63749,1.44889,0.40842,0.03814,0.18556,0.0812,1.73131,2.85953,1.70654,0.00105468,0.00105468,0.00105468
13,40.835,1.44508,1.65191,1.45404,1,0.02654,0.17456,0.07862,1.87258,2.8269,1.88283,0.0011311,0.0011311,0.0011311
14,43.6004,1.49038,1.58408,1.4726,0.09756,0.15812,0.06923,0.02507,2.22111,2.89593,2.10675,0.00120554,0.00120554,0.00120554
15,46.6756,1.52074,1.65839,1.47592,0.71633,0.08974,0.08772,0.0329,2.16595,2.80822,2.33193,0.001278,0.001278,0.001278
16,50.4512,1.50973,1.57027,1.47103,0.58942,0.05556,0.04052,0.01782,2.43573,3.10783,2.42587,0.00134848,0.00134848,0.00134848
17,52.5724,1.52055,1.57638,1.48904,0.63185,0.0641,0.04504,0.01467,2.6069,3.25538,3.05609,0.00140295,0.00140295,0.00140295
18,55.8929,1.49906,1.53765,1.47713,0.55917,0.04274,0.01791,0.00544,2.3501,3.45846,2.64758,0.00138644,0.00138644,0.00138644
19,58.6486,1.47117,1.52966,1.47141,0.58071,0.11105,0.05516,0.01834,2.28724,2.92297,2.63754,0.00136994,0.00136994,0.00136994
20,61.5766,1.51023,1.46163,1.47141,0.60406,0.10256,0.08111,0.02255,2.33314,2.76765,2.44152,0.00135344,0.00135344,0.00135344
21,63.7974,1.497,1.47505,1.47564,0.67081,0.14957,0.10457,0.0446,1.99286,2.48022,2.15432,0.00133693,0.00133693,0.00133693
22,66.2719,1.43732,1.44103,1.45003,0.59774,0.08547,0.03542,0.01268,2.65214,3.27177,2.58412,0.00132043,0.00132043,0.00132043
23,68.973,1.46502,1.38773,1.45833,0.60246,0.11538,0.05223,0.01727,2.56043,2.93409,2.56428,0.00130393,0.00130393,0.00130393
24,71.6659,1.47617,1.37066,1.44478,0.31384,0.20513,0.22447,0.12668,1.838,2.08948,1.8826,0.00128742,0.00128742,0.00128742
25,73.7577,1.44276,1.38379,1.45442,0.76963,0.14103,0.15519,0.07512,2.03411,2.32602,2.04903,0.00127092,0.00127092,0.00127092
26,76.4971,1.45597,1.34965,1.46026,0.53714,0.43803,0.49626,0.34297,1.83009,2.02714,1.87159,0.00125442,0.00125442,0.00125442
27,78.9355,1.40803,1.31077,1.41896,0.53768,0.505,0.47609,0.18601,1.72468,1.66039,1.7436,0.00123791,0.00123791,0.00123791
28,81.501,1.423,1.29331,1.41733,0.85348,0.26496,0.32568,0.17843,1.63496,1.58564,1.62227,0.00122141,0.00122141,0.00122141
29,83.6255,1.38844,1.26728,1.39666,0.57238,0.50219,0.43564,0.16474,1.80785,1.74295,1.7349,0.00120491,0.00120491,0.00120491
30,86.1042,1.40626,1.26469,1.40664,0.86316,0.26068,0.32042,0.16633,1.65176,1.54096,1.60375,0.0011884,0.0011884,0.0011884
31,88.78,1.36127,1.20178,1.388,0.80127,0.32479,0.29525,0.15007,1.65145,1.51194,1.67967,0.0011719,0.0011719,0.0011719
32,91.7327,1.35913,1.15697,1.38162,0.77278,0.25214,0.22949,0.12247,1.64625,1.81979,1.69587,0.0011554,0.0011554,0.0011554
33,93.8781,1.36168,1.19047,1.38056,0.78162,0.30769,0.28476,0.14464,1.60003,1.65499,1.69117,0.00113889,0.00113889,0.00113889
34,96.7426,1.37353,1.22875,1.39999,0.26235,0.61752,0.36247,0.17848,1.56672,1.47657,1.55519,0.00112239,0.00112239,0.00112239
35,99.4044,1.35115,1.15336,1.38875,0.88701,0.24359,0.2851,0.13882,1.72413,1.73661,1.76459,0.00110589,0.00110589,0.00110589
36,101.7,1.33325,1.13803,1.3582,0.41729,0.2735,0.33331,0.17251,1.66365,1.54629,1.69911,0.00108938,0.00108938,0.00108938
37,103.741,1.30693,1.12236,1.35589,0.32798,0.32051,0.33964,0.20037,1.48369,1.49406,1.52193,0.00107288,0.00107288,0.00107288
38,106.241,1.30142,1.08531,1.34592,0.48467,0.83617,0.57145,0.27152,1.54695,1.38298,1.57171,0.00105638,0.00105638,0.00105638
39,108.911,1.32913,1.06698,1.35192,0.33935,0.29915,0.33544,0.19515,1.47294,1.48948,1.53767,0.00103987,0.00103987,0.00103987
40,111.522,1.30858,1.07843,1.35356,0.43035,0.62985,0.62674,0.31596,1.38543,1.18234,1.46386,0.00102337,0.00102337,0.00102337
41,113.696,1.29434,1.0759,1.33093,0.94711,0.29487,0.41186,0.21915,1.45668,1.2121,1.536,0.00100687,0.00100687,0.00100687
42,115.87,1.26288,1.03811,1.32061,0.44087,0.30769,0.42604,0.22687,1.45922,1.2093,1.53065,0.000990365,0.000990365,0.000990365
43,117.909,1.31419,1.0685,1.36534,0.36461,0.2906,0.34286,0.18388,1.61281,1.40826,1.63882,0.000973861,0.000973861,0.000973861
44,120.188,1.2814,1.06114,1.32542,0.38819,0.60043,0.42419,0.22607,1.4635,1.26377,1.49987,0.000957358,0.000957358,0.000957358
45,122.423,1.28313,1.04753,1.33354,0.87913,0.2949,0.34583,0.18038,1.52919,1.42122,1.57442,0.000940855,0.000940855,0.000940855
46,124.712,1.27674,1.01103,1.31861,0.8782,0.26496,0.31865,0.17125,1.45674,1.51601,1.53547,0.000924352,0.000924352,0.000924352
